Artisan,Product_name,Principles,Materials,Processes,Industrial_scale_items,Regular_price,Last_price,Unit_price,Url
Olive mode,3 Piece Cosmetic Bag,"woman owned, black owned",", , ,",", , ,",,Regular price,$44.00 USD,Regular price,https://www.olivemodeboutique.com/products/3-piece-cosmetic-bag
Olive mode,A Night Out Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$32.00 USD,Regular price,https://www.olivemodeboutique.com/products/red-asymmetrical-dress
Olive mode,Adhesive Lift Tape,"woman owned, black owned",", , ,",", , ,",,Regular price,$8.75 USD,Regular price,https://www.olivemodeboutique.com/products/2037-adhesive-breast-lift-tape-black
Olive mode,Amber Striped Clutch,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-mayotte-clutch
Olive mode,Ariel Ombré Mermaid Crochet Cover Up Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$74.00 USD,Regular price,https://www.olivemodeboutique.com/products/ombre-dyed-crochet-mermaid-dress
Olive mode,Aspen Bracelet,"woman owned, black owned",", , ,",", , ,",,Regular price,$40.00 USD,Regular price,https://www.olivemodeboutique.com/products/aspen-bracelet
Olive mode,Aspen Ring Mini,"woman owned, black owned",", , ,",", , ,",,Regular price,$35.00 USD,Regular price,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-aspen-ring-mini
Olive mode,Axel Nail Bracelet: Silver,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,Regular price,https://www.olivemodeboutique.com/products/axel-nail-bracelet-silver
Olive mode,Bettany Bodysuit,"woman owned, black owned",", , ,",", , ,",,Regular price,$29.00 USD,Regular price,https://www.olivemodeboutique.com/products/2014-bettany-bodysuit-black
Olive mode,Black Mesh Cosmetic Bag Set,"woman owned, black owned",", , ,",", , ,",,Regular price,$12.98 USD,Regular price,https://www.olivemodeboutique.com/products/unishe-black-mesh-washing-bag-cosmetic-bag-moq-3pcs-zzkf455
Olive mode,Blue Lagoon Mesh Midaxi Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$95.00 USD,Regular price,https://www.olivemodeboutique.com/products/oasis
Olive mode,Boob Savior Adhesive Remover,"woman owned, black owned",", , ,",", , ,",,Regular price,$13.99 USD,Regular price,https://www.olivemodeboutique.com/products/boob-savior-adhesive-remover
Olive mode,Bora Bora Kelly Green Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-fawna-crossbody
Olive mode,Bora Bora Sky Blue Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-fawna-crossbody-1
Olive mode,Botanical Fragrance Roller,"woman owned, black owned",", , ,",", , ,",,Regular price,$14.00 USD,Regular price,https://www.olivemodeboutique.com/products/cocoa-beach-fragrance-roller
Olive mode,Braided Band Bracelet,"woman owned, black owned",", , ,",", , ,",,Regular price,$36.00 USD,Regular price,https://www.olivemodeboutique.com/products/braided-band-bracelet
Olive mode,Bubble Evening Bag: Silver,"woman owned, black owned",", , ,",", , ,",,Regular price,$66.00 USD,Regular price,https://www.olivemodeboutique.com/products/daisy-evening-bag-silver
Olive mode,Butterfly Crystal Bag: Fuchsia,"woman owned, black owned",", , ,",", , ,",,Regular price,$80.00 USD,Regular price,https://www.olivemodeboutique.com/products/vanessa-evening-bag-fuchsia
Olive mode,Cabana Mesh Mini Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$48.00 USD,Regular price,https://www.olivemodeboutique.com/products/amy-lynn-dalia-dress
Olive mode,Cabo Crop Top Set,"woman owned, black owned",", , ,",", , ,",,Regular price,$22.00 USD,Regular price,https://www.olivemodeboutique.com/products/crop-top-set
Olive mode,CALA 2-in-1 Rose Quartz Sonic Facial Massager,"woman owned, black owned",", , ,",", , ,",,Regular price,$22.00 USD,Regular price,https://www.olivemodeboutique.com/products/best-beauty-group-cala-2-in-1-rose-quartz-sonic-facial-massager
Olive mode,CALA 5 PIECE HYDROGEL LIP MASK ROSE COLLAGEN HYDRATING,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,Regular price,https://www.olivemodeboutique.com/products/cala-5-piece-hydrogel-lip-mask-rose-collagen-hydrating
Olive mode,Cher Black Feather Crop Top,"woman owned, black owned",", , ,",", , ,",,Regular price,$68.00 USD,Regular price,https://www.olivemodeboutique.com/products/dressy-feather-trim-crop-top
Olive mode,Chunky Tube Hoops Medium,"woman owned, black owned",", , ,",", , ,",,Regular price,$44.00 USD,Regular price,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-chunky-tube-hoops-medium
Olive mode,Chunky Twisted Ring,"woman owned, black owned",", , ,",", , ,",,Regular price,$43.00 USD,Regular price,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-chunky-twisted-ring
Olive mode,Cocktail Hour Chain Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$38.00 USD,Regular price,https://www.olivemodeboutique.com/products/chain-black-dress
Olive mode,Cocktail Picks,"woman owned, black owned",", , ,",", , ,",,Regular price,$9.00 USD,Regular price,https://www.olivemodeboutique.com/products/cocktail-picks-wholesale
Olive mode,COSRX Acne Clear Pimple Master Patch kbeauty,"woman owned, black owned",", , ,",", , ,",,Regular price,$7.00 USD,Regular price,https://www.olivemodeboutique.com/products/cosrx-acne-clear-pimple-master-patch-kbeauty
Olive mode,Countdown Sequince Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$120.00 USD,Regular price,https://www.olivemodeboutique.com/products/celebration-dress
Olive mode,Creamsicle Maxi Crochet Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$72.00 USD,Regular price,https://www.olivemodeboutique.com/products/orange-maxi-crochet-dress
Olive mode,Curved Shapewear Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$24.00 USD,Regular price,https://www.olivemodeboutique.com/products/2009-curved-craze-shapewear-dress-black
Olive mode,Dionne Carmel Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$118.00 USD,Regular price,https://www.olivemodeboutique.com/products/mini-sweater
Olive mode,Donna Mirror Metallic Card Holder Wallet: Gold,"woman owned, black owned",", , ,",", , ,",,Regular price,$20.00 USD,Regular price,https://www.olivemodeboutique.com/products/afina-mirror-metallic-card-holder-wallet-gold
Olive mode,Donna Mirror Metallic Card Holder Wallet: Silver,"woman owned, black owned",", , ,",", , ,",,Regular price,$20.00 USD,Regular price,https://www.olivemodeboutique.com/products/afina-mirror-metallic-card-holder-wallet-silver
Olive mode,Double Bar Earring,"woman owned, black owned",", , ,",", , ,",,Regular price,$52.00 USD,Regular price,https://www.olivemodeboutique.com/products/double-bar-earring
